IRM_STATE_OFFICE,IRM_DEPOT_NAME,IRM_CONSUMER_NAME,IRM_ERP_CONSUMER_CODE,IRM_LATITUDE,IRM_LONGITUDE,IRM_ROUTE_STATUS,IRM_ROUTE_VERIFIED_BY,IRM_ROUTE_VERIFIED_AT,IRM_ROUTE_DISTANCE,IRM_ROUTE_ID,IRM_IS_NEW,IRM_CREATED_AT,IRM_CREATED_BY,IRM_UPDATED_AT,IRM_UPDATED_BY,IRM_ISACTIVE,IRM_CUSTOMER_ID,IRM_GROUP_NO,IRM_IS_REJECTED
Punjab (NR),JALANDHAR TERMINAL,805 SU AF KASAULI,500721,30.879603,76.975483,Accepted,NAGPAL SANDEEP,16-Jan-12,202,18223,1,10/15/2014 14:56,1,,,1,1,5950,N
Karnataka (SR),Hassan Top,A G FILLING STATION,214585,14.205583,76.427895,Accepted,BASUMATARY,27-Oct-11,203,16904,1,2/5/2015 9:21,,,,1,1,17734,N
Uttar Pradesh 1 (NR),Baitalpur Depot,A K PETROLEUM,269905,26.610717,83.02482,Accepted,Dharmendra Kumar Yadav,21-Aug-15,,589155,0,7/28/2014 16:21,6,7/28/2014 17:03,6,1,1,4542,N
Karnataka (SR),Bangalore Terminal,A M AGENCIES,187624,13.403761,77.130062,Accepted,S_VAITHIANATHAN,9-Apr-15,,20774,0,4/9/2015 13:47,,4/9/2015 13:47,10053,1,1,16710,N
Karnataka (SR),Hassan Top,A M AGENCIES,187624,13.403761,77.130062,Accepted,KASO CMC,20-Sep-11,138,53001,1,2/5/2015 9:21,,,,1,1,17984,N
Karnataka (SR),Bijapur Depot,A M ITAGI & SONS,175242,16.829104,75.686097,Accepted,KANT,16-Nov-11,10,22001,1,2/5/2015 9:21,,,,1,1,16709,N
Karnataka (SR),Navalur Depot,A S K ENTERPRISES,255657,15.322,76.2441,Accepted,A vijay kumar,22-Jan-13,,18937,1,2/5/2015 9:21,,,,1,1,18129,N
Uttar Pradesh 2 (NR),Bareilly Depot,A.F.S.15-W IZATNAGAR BAREILY C/P,153963,28.413635,79.448463,Accepted,Aonla,22-Feb-12,55,9004,1,1/8/2015 21:42,1,,,1,1,13610,N
Uttar Pradesh 1 (NR),KANPUR TERMINAL,A.K.FILLING STATION,186283,25.986464,79.842047,Accepted,Kanpur,31-Jan-12,92.5,71138,1,7/25/2014 12:30,,9/10/2015 19:22,3129,0,1,728,N
Uttar Pradesh 1 (NR),Kanpur Terminal,A.K.FILLING STATION,186283,25.986464,79.842047,Accepted,SINGHAL_R,11-Sep-15,,602100,0,9/11/2015 15:43,13333,9/11/2015 15:43,13333,1,1,,N
Karnataka (SR),Hassan Top,A.R UDYOG AGENCIES,118155,15.271096,76.387485,Accepted,VIJAYAKUMAR,20-Sep-11,318,53002,1,2/5/2015 9:21,,,,1,1,17609,N
Uttar Pradesh 2 (NR),Bareilly Depot,A.R.FILLING CENTRE,185623,28.303778,78.943501,Accepted,Aonla,26-Jul-11,26,9001,1,1/8/2015 21:42,1,,,1,1,13485,N
Uttar Pradesh 2 (NR),Agra Top,A.S. FILLING STATION,156995,27.163803,79.470155,Accepted,GK,10-Jan-11,141.5,1001,1,1/8/2015 21:42,1,,,1,1,13682,N
Uttar Pradesh 1 (NR),Kanpur Terminal,A.S. FILLING STATION,156995,27.163803,79.470155,Accepted,EFKADMIN,11-Sep-15,,592429,0,9/11/2015 17:25,6,9/11/2015 17:25,6,1,1,5121,N
Karnataka (SR),Hassan Top,A.S.PARAMESHWARIAH & BROS,117806,12.783211,76.246472,Accepted,Emdo Gain,1-Oct-15,211,83003,1,2/5/2015 9:21,,,,1,1,17858,N
Karnataka (SR),Hassan Top,A.S.PARAMESHWARIAH & BROS,117806,12.783211,76.246472,Accepted,Emdo Gain,1-Oct-15,211,602195,1,10/1/2015 13:16,6,10/1/2015 13:19,10044,0,1,17858,N
Karnataka (SR),Hassan Top,A.S.PARAMESHWARIAH & BROS,117806,12.783211,76.246472,Accepted,Emdo Gain,1-Oct-15,211,602167,1,9/29/2015 14:54,6,10/1/2015 13:17,10044,0,1,17858,N
Karnataka (SR),Bijapur Depot,AABHA FUELS,222163,16.098634,75.791448,Accepted,P VANSAKUMARAN,31-Dec-11,104.13,13743,1,2/5/2015 9:21,,,,1,1,16957,N
Uttar Pradesh 1 (NR),Gonda Depot,AANJANEYA FILLING STATION,196765,26.782612,81.593681,Accepted,Virendra Pratap singh,11-Sep-15,,592191,1,10/5/2014 17:10,6,,,1,1,5061,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,AANJANEYA FILLING STATION,196765,26.782612,81.593681,Accepted,RAJEEV,14-Jan-11,92.5,4608,1,7/25/2014 12:33,,,,1,1,1224,N
Uttar Pradesh 1 (NR),Kanpur Terminal,AARYAN FILLING STATION,231128,26.841848,81.318703,Accepted,ABHYUDAYA_KUMAR,24-Aug-15,,590655,1,10/1/2014 15:50,6,,,1,1,4687,N
Uttar Pradesh 1 (NR),LUCKNOW TERMINAL,AARYAN FILLING STATION,231128,26.841848,81.318703,Accepted,RAJEEV,15-Oct-10,50,5216,1,7/25/2014 12:33,,,,1,1,1226,N
Uttar Pradesh 2 (NR),Haldwani Depot,AASHIRWAD FILLING STN.,186504,28.939369,79.461174,Accepted,KUMAR,27-Jan-11,23,5556,1,1/8/2015 21:42,1,,,1,1,13840,N
Uttar Pradesh 2 (NR),Haldwani Depot,ABDULLA FILLING STN.,186503,29.22123,79.508308,Accepted,AGARWAL,4-Sep-11,16,6147,1,1/8/2015 21:42,1,,,1,1,13714,N
Karnataka (SR),Bangalore Terminal,ABHI SERVICE STATION,250431,13.600018,76.538185,Accepted,A Srikanth,12-Nov-12,,20800,1,2/5/2015 9:21,,,,1,1,16833,N
Karnataka (SR),Hassan Top,ABHI SERVICE STATION,250431,13.600018,76.538185,Accepted,AHMED,20-Sep-11,100.5,15256,1,2/5/2015 9:21,,,,1,1,17732,N
Karnataka (SR),Bangalore Terminal,ABHIMAN SERVICE STATION,118292,13.259763,76.484744,Accepted,AS,1-Dec-11,178,34005,1,2/5/2015 9:21,,,,1,1,16583,N
Karnataka (SR),Hassan Top,ABHIMAN SERVICE STATION,118292,13.259763,76.484744,Accepted,VSREENATH,25-Mar-11,59.007,13700,1,2/5/2015 9:21,,,,1,1,17607,N
Uttar Pradesh 1 (NR),ALLAHABAD TERMINAL,ABHINANDAN FILLING STATION,224097,25.589445,81.483849,Accepted,MADHUP DWIVEDI,13-Jan-11,38,2822,1,7/25/2014 12:23,,,,1,1,3,N
Uttar Pradesh 1 (NR),Allahabad Terminal,ABHINANDAN FILLING STATION,224097,25.589445,81.483849,Accepted,VIJAY,11-Nov-14,38,595403,0,11/11/2014 18:24,,11/11/2014 18:24,16,1,1,3,N
Uttar Pradesh 2 (NR),Meerut Terminal,ABHISHEK FILL POINT,180470,28.676468,77.442246,Accepted,MKJ,12-Sep-11,47,104001,1,1/8/2015 21:42,1,,,1,1,15074,N
