"IAC_ID","IAC_IID_TRIP_ID","IAC_IID_MATERIAL_CODE","IAC_IID_QUANTITY","IAC_IID_FUEL_UNIT","IAC_IID_PARTY_CODE","IAC_IID_PARTY_NAME","IAC_IID_VEHICLE_NO","IAC_IID_INVOICE_DATE","IAC_IID_SUPPLY_PLANT_CODE","IAC_IID_SUPPLY_PLANT","IAC_IID_SALESAREA_CODE","IAC_IID_DELIVERY_TYPE","IAC_IID_TRIP_STATUS","IAC_IID_TRIP_ACTUAL_START_TIME","IAC_IID_TRIP_ACTUAL_END_TIME","IAC_IID_TRIP_FORCE_CLOSED_TIME","IAC_IID_TRIP_DISTANCE","IAC_IID_VEHICLE_ID","IAC_IID_ROUTE_ID","IAC_IID_TRIP_ACTUAL_DISTANCE","IAC_DATA_FROM_TIME","IAC_DATA_TO_TIME","IAC_TMP_VEH_ID","IAC_TMP_LOC","IAC_TMP_IDLE_START_TIME","IAC_TMP_IDLE_END_TIME","IAC_TMP_TOTAL_STOPPAGE","IAC_TMP_MAX_STOPPAGE","IAC_TMP_TRIP_TIME","IAC_TMP_DRIVE_TIME","IAC_TMP_DISTANCE"
7431002,1973948,"58000","6","KL","0000156342","KAMLA FILLING CENTRE, SIRSIYA","UP40B8163","2015-10-07 19:14:52","0682036127","1456","UL2","DDP",2,"2015-10-07 20:25:12","2015-10-08 00:02:04",,,"670","46042",,"2015-10-07 20:25:12","2015-10-08 00:02:04","670","Bahraich- Shravasti-Uttar Pradesh","2015-10-07 21:51:37","2015-10-07 22:12:09","00:21:54","0:20:32","01:38:54","01:17:00","96.12000274658203"
7431003,1973948,"58000","6","KL","0000156342","KAMLA FILLING CENTRE, SIRSIYA","UP40B8163","2015-10-07 19:14:52","0682036127","1456","UL2","DDP",2,"2015-10-07 20:25:12","2015-10-08 00:02:04",,,"670","46042",,"2015-10-07 20:25:12","2015-10-08 00:02:04","670","Bhinga- Shravasti-Uttar Pradesh","2015-10-07 23:29:09","2015-10-07 23:30:31","00:21:54","0:20:32","01:38:54","01:17:00","96.12000274658203"
7431005,1973947,"18600","6","KL","0000156342","KAMLA FILLING CENTRE, SIRSIYA","UP40B8163","2015-10-07 19:14:52","0682036127","1456","UL2","DDP",2,"2015-10-07 20:25:12","2015-10-08 00:02:04",,,"670","46042",,"2015-10-07 20:25:12","2015-10-08 00:02:04","670","Bahraich- Shravasti-Uttar Pradesh","2015-10-07 21:51:37","2015-10-07 22:12:09","00:21:54","0:20:32","01:38:54","01:17:00","96.12000274658203"
7431006,1973947,"18600","6","KL","0000156342","KAMLA FILLING CENTRE, SIRSIYA","UP40B8163","2015-10-07 19:14:52","0682036127","1456","UL2","DDP",2,"2015-10-07 20:25:12","2015-10-08 00:02:04",,,"670","46042",,"2015-10-07 20:25:12","2015-10-08 00:02:04","670","Bhinga- Shravasti-Uttar Pradesh","2015-10-07 23:29:09","2015-10-07 23:30:31","00:21:54","0:20:32","01:38:54","01:17:00","96.12000274658203"
7431067,1972250,"58000","6","KL","0000171609","S.P. FILLING STATION","UP61E1279","2015-10-07 16:27:03","0682030754","1424","U29","DDP",2,"2015-10-07 17:47:50","2015-10-08 00:15:54",,,"7426","89286",,"2015-10-07 17:47:50","2015-10-08 00:15:54","7426","Mirzapur- Sant Ravidas Nagar-Uttar Pradesh","2015-10-07 19:31:03","2015-10-07 21:17:29","01:55:22","01:46:26","04:25:16","02:29:54","99.41349792480469"
7431068,1972250,"58000","6","KL","0000171609","S.P. FILLING STATION","UP61E1279","2015-10-07 16:27:03","0682030754","1424","U29","DDP",2,"2015-10-07 17:47:50","2015-10-08 00:15:54",,,"7426","89286",,"2015-10-07 17:47:50","2015-10-08 00:15:54","7426","Jaunpur- Jaunpur-Uttar Pradesh","2015-10-07 23:47:23","2015-10-07 23:56:19","01:55:22","01:46:26","04:25:16","02:29:54","99.41349792480469"
7431070,1972249,"18600","6","KL","0000171609","S.P. FILLING STATION","UP61E1279","2015-10-07 16:27:03","0682030754","1424","U29","DDP",2,"2015-10-07 17:47:50","2015-10-08 00:15:54",,,"7426","89286",,"2015-10-07 17:47:50","2015-10-08 00:15:54","7426","Mirzapur- Sant Ravidas Nagar-Uttar Pradesh","2015-10-07 19:31:03","2015-10-07 21:17:29","01:55:22","01:46:26","04:25:16","02:29:54","99.41349792480469"
7431071,1972249,"18600","6","KL","0000171609","S.P. FILLING STATION","UP61E1279","2015-10-07 16:27:03","0682030754","1424","U29","DDP",2,"2015-10-07 17:47:50","2015-10-08 00:15:54",,,"7426","89286",,"2015-10-07 17:47:50","2015-10-08 00:15:54","7426","Jaunpur- Jaunpur-Uttar Pradesh","2015-10-07 23:47:23","2015-10-07 23:56:19","01:55:22","01:46:26","04:25:16","02:29:54","99.41349792480469"
7431073,1972141,"58000","20","KL","0000171593","S.B.S. FILLING STATION","UP64H2450","2015-10-07 16:24:28","0682030477","1424","U94","DDP",2,"2015-10-07 17:25:44","2015-10-08 00:27:23",,,"654","89303",,"2015-10-07 17:25:44","2015-10-08 00:27:23","654","Chandauli- Chandauli-Uttar Pradesh","2015-10-07 17:59:35","2015-10-07 18:07:52","00:34:26","0:10:36","04:48:15","04:13:49","160.88999938964844"
7431074,1972141,"58000","20","KL","0000171593","S.B.S. FILLING STATION","UP64H2450","2015-10-07 16:24:28","0682030477","1424","U94","DDP",2,"2015-10-07 17:25:44","2015-10-08 00:27:23",,,"654","89303",,"2015-10-07 17:25:44","2015-10-08 00:27:23","654","Jakhania- Ghazipur-Uttar Pradesh","2015-10-07 22:40:41","2015-10-07 22:47:50","00:34:26","0:10:36","04:48:15","04:13:49","160.88999938964844"
7431075,1972141,"58000","20","KL","0000171593","S.B.S. FILLING STATION","UP64H2450","2015-10-07 16:24:28","0682030477","1424","U94","DDP",2,"2015-10-07 17:25:44","2015-10-08 00:27:23",,,"654","89303",,"2015-10-07 17:25:44","2015-10-08 00:27:23","654","Ghazipur- Ghazipur-Uttar Pradesh","2015-10-07 19:41:37","2015-10-07 19:52:13","00:34:26","0:10:36","04:48:15","04:13:49","160.88999938964844"
7431076,1972141,"58000","20","KL","0000171593","S.B.S. FILLING STATION","UP64H2450","2015-10-07 16:24:28","0682030477","1424","U94","DDP",2,"2015-10-07 17:25:44","2015-10-08 00:27:23",,,"654","89303",,"2015-10-07 17:25:44","2015-10-08 00:27:23","654","Ghazipur- Ghazipur-Uttar Pradesh","2015-10-07 21:07:38","2015-10-07 21:16:02","00:34:26","0:10:36","04:48:15","04:13:49","160.88999938964844"
