"IAC_ID","IAC_IID_TRIP_ID","IAC_IID_MATERIAL_CODE","IAC_IID_QUANTITY","IAC_IID_FUEL_UNIT","IAC_IID_PARTY_CODE","IAC_IID_PARTY_NAME","IAC_IID_VEHICLE_NO","IAC_IID_INVOICE_DATE","IAC_IID_SUPPLY_PLANT_CODE","IAC_IID_SUPPLY_PLANT","IAC_IID_SALESAREA_CODE","IAC_IID_DELIVERY_TYPE","IAC_IID_TRIP_STATUS","IAC_IID_TRIP_ACTUAL_START_TIME","IAC_IID_TRIP_ACTUAL_END_TIME","IAC_IID_TRIP_FORCE_CLOSED_TIME","IAC_IID_TRIP_DISTANCE","IAC_IID_VEHICLE_ID","IAC_IID_ROUTE_ID","IAC_IID_TRIP_ACTUAL_DISTANCE","IAC_DATA_FROM_TIME","IAC_DATA_TO_TIME","IAC_TMP_VEH_ID","IAC_TMP_LOC","IAC_TMP_IDLE_START_TIME","IAC_TMP_IDLE_END_TIME","IAC_TMP_TOTAL_STOPPAGE","IAC_TMP_MAX_STOPPAGE","IAC_TMP_TRIP_TIME","IAC_TMP_DRIVE_TIME","IAC_TMP_DISTANCE"
7437003,1979698,"58000","12","KL","0000194658","SHRINETRE FILLING STATION","UP52T1040","2015-10-08 18:23:12","0682062239","1442","U08","DDP",2,"2015-10-08 19:46:57","2015-10-09 00:41:47",,,"7330","11222",,"2015-10-08 19:46:57","2015-10-09 00:41:47","7330","Chauri Chaura- Gorakhpur-Uttar Pradesh","2015-10-08 20:09:30","2015-10-08 20:13:47","00:12:49","00:08:32","03:01:09","02:48:20","142.11050415039062"
7437004,1979698,"58000","12","KL","0000194658","SHRINETRE FILLING STATION","UP52T1040","2015-10-08 18:23:12","0682062239","1442","U08","DDP",2,"2015-10-08 19:46:57","2015-10-09 00:41:47",,,"7330","11222",,"2015-10-08 19:46:57","2015-10-09 00:41:47","7330","Campierganj- Maharajganj-Uttar Pradesh","2015-10-08 23:02:07","2015-10-08 23:10:39","00:12:49","00:08:32","03:01:09","02:48:20","142.11050415039062"
7437006,1979684,"58000","6","KL","0000154576","AGGARWAL AUTOMOBILES (ITWA)","UP55T1051","2015-10-08 18:20:08","0682062149","1442","U08","DDP",2,"2015-10-08 19:39:35","2015-10-09 00:27:52",,,"842","590512",,"2015-10-08 19:39:35","2015-10-09 00:27:52","842","Chauri Chaura- Gorakhpur-Uttar Pradesh","2015-10-08 20:02:35","2015-10-08 20:05:18","01:02:06","0:54:15","04:16:49","03:14:43","156.09890747070312"
7437007,1979684,"58000","6","KL","0000154576","AGGARWAL AUTOMOBILES (ITWA)","UP55T1051","2015-10-08 18:20:08","0682062149","1442","U08","DDP",2,"2015-10-08 19:39:35","2015-10-09 00:27:52",,,"842","590512",,"2015-10-08 19:39:35","2015-10-09 00:27:52","842","Basti- Basti-Uttar Pradesh","2015-10-08 22:08:30","2015-10-08 23:02:45","01:02:06","0:54:15","04:16:49","03:14:43","156.09890747070312"
7437008,1979684,"58000","6","KL","0000154576","AGGARWAL AUTOMOBILES (ITWA)","UP55T1051","2015-10-08 18:20:08","0682062149","1442","U08","DDP",2,"2015-10-08 19:39:35","2015-10-09 00:27:52",,,"842","590512",,"2015-10-08 19:39:35","2015-10-09 00:27:52","842","Itwa- Sidharthnagar-Uttar Pradesh","2015-10-09 00:14:16","2015-10-09 00:19:24","01:02:06","0:54:15","04:16:49","03:14:43","156.09890747070312"
7437009,1979683,"18600","6","KL","0000154576","AGGARWAL AUTOMOBILES (ITWA)","UP55T1051","2015-10-08 18:20:08","0682062149","1442","U08","DDP",2,"2015-10-08 19:39:35","2015-10-09 00:27:52",,,"842","590512",,"2015-10-08 19:39:35","2015-10-09 00:27:52","842","Chauri Chaura- Gorakhpur-Uttar Pradesh","2015-10-08 20:02:35","2015-10-08 20:05:18","01:02:06","0:54:15","04:16:49","03:14:43","156.09890747070312"
7437010,1979683,"18600","6","KL","0000154576","AGGARWAL AUTOMOBILES (ITWA)","UP55T1051","2015-10-08 18:20:08","0682062149","1442","U08","DDP",2,"2015-10-08 19:39:35","2015-10-09 00:27:52",,,"842","590512",,"2015-10-08 19:39:35","2015-10-09 00:27:52","842","Basti- Basti-Uttar Pradesh","2015-10-08 22:08:30","2015-10-08 23:02:45","01:02:06","0:54:15","04:16:49","03:14:43","156.09890747070312"
7437011,1979683,"18600","6","KL","0000154576","AGGARWAL AUTOMOBILES (ITWA)","UP55T1051","2015-10-08 18:20:08","0682062149","1442","U08","DDP",2,"2015-10-08 19:39:35","2015-10-09 00:27:52",,,"842","590512",,"2015-10-08 19:39:35","2015-10-09 00:27:52","842","Itwa- Sidharthnagar-Uttar Pradesh","2015-10-09 00:14:16","2015-10-09 00:19:24","01:02:06","0:54:15","04:16:49","03:14:43","156.09890747070312"
7437012,1979569,"58000","12","KL","0000199575","KISAN SEWA KENDRA BISKOHAR","UP55T2010","2015-10-08 17:05:57","0682060558","1442","U08","DDP",2,"2015-10-08 17:55:55","2015-10-09 00:31:31",,,"618","590555",,"2015-10-08 17:55:55","2015-10-09 00:31:31","618",", Murena;-  Murena;Chauri Chaura,Gorakhpur-Uttar Pradesh","2015-10-08 18:14:25","2015-10-08 18:45:22","02:03:54","1:14:32","04:10:36","02:06:42","175.7624969482422"
7437013,1979569,"58000","12","KL","0000199575","KISAN SEWA KENDRA BISKOHAR","UP55T2010","2015-10-08 17:05:57","0682060558","1442","U08","DDP",2,"2015-10-08 17:55:55","2015-10-09 00:31:31",,,"618","590555",,"2015-10-08 17:55:55","2015-10-09 00:31:31","618","Basti- Sant Kabir Nagar-Uttar Pradesh","2015-10-08 20:32:29","2015-10-08 20:50:54","02:03:54","1:14:32","04:10:36","02:06:42","175.7624969482422"
