"IRD_ID","IRD_VEH_ID","IRD_TRIP_ID","IRD_DEV_START_AT","IRD_DEV_END_AT","IRD_DEV_START_LOC","IRD_DEV_START_CITY","IRD_DEV_START_DIS","IRD_DEV_START_STATE","IRD_DEV_END_LOC","IRD_DEV_END_CITY","IRD_DEV_END_DIS","IRD_DEV_END_STATE","IRD_DEV_DUR_IN_MINS","IRD_DEV_CREATED_AT","IRD_DEV_CREATED_BY","IRD_DEV_UPDATED_AT","IRD_DEV_UPDATED_BY","IRD_DEV_MSG","IRD_IS_DONE","IS_CHECKED"
160976,"1730","0682069476","2015-10-09 09:53:29","2015-10-09 10:10:01","0.23 Km. SE From BIJWASAN TERMINAL","Delhi"," Delhi","Delhi","0.06 Km. N From DELHI TERMINAL","Delhi"," Delhi","Delhi",16,"2015-10-09 16:35:06","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,0
160975,"6348","0682069514","2015-10-09 11:04:24","2015-10-09 11:11:16","0.53 Km. NW From SIDHARTH AUTOMOBILES","Nagina"," Bijnor","Uttar Pradesh","0.27 Km. NE From Nandpur","Nagina"," Bijnor","Uttar Pradesh",6,"2015-10-09 16:34:12","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,0
160974,"6348","0682069514","2015-10-09 10:54:15","2015-10-09 10:59:48","0.98 Km. W From Bundki","Najibabad"," Bijnor","Uttar Pradesh","0.96 Km. S From Hagarur","Najibabad"," Bijnor","Uttar Pradesh",5,"2015-10-09 16:34:12","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,0
160973,"2031","0682068310","2015-10-09 15:12:09","2015-10-09 15:19:53","0.37 Km.  W From Fatehabad","Fatehabad"," Fatehabad","Haryana","0.64 Km. W From INDORA FILLING STATION","Fatehabad"," Fatehabad","Haryana",7,"2015-10-09 16:31:37","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,0
160972,"2244","0682068035","2015-10-09 09:23:22","2015-10-09 09:36:04","0.08 Km. SE From SIDDARTH FILLING STATION","Ambala"," Ambala","Haryana","0.03 Km. S From SIDDARTH FILLING STATION","Ambala"," Ambala","Haryana",12,"2015-10-09 16:29:00","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,0
160971,"2244","0682068035","2015-10-09 09:15:52","2015-10-09 09:22:52","0.02 Km. SE From SIDDARTH FILLING STATION","Ambala"," Ambala","Haryana","0.04 Km. S From SIDDARTH FILLING STATION","Ambala"," Ambala","Haryana",7,"2015-10-09 16:28:58","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,0
160970,"2790","0682069446","2015-10-09 14:11:57","2015-10-09 14:17:38","1.94 Km. NW From Theka Wine Shop","Bhiwani"," Bhiwani","Haryana","0.83 Km. SE From Sangariya Railway Station","Bhiwani"," Bhiwani","Haryana",5,"2015-10-09 16:26:43","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160969,"6703","0682069474","2015-10-09 10:39:07","2015-10-09 11:02:29","0.62 Km. SW From State Bank","Jalandhar - II"," - II,"," II,Jalandhar-Punjab","0.02 Km. SW From SHIVA SHAKTI FILLING STN-281","Kapurthala"," -281;Kapurthala,","281;Kapurthala,Kapurthala-Punjab",23,"2015-10-09 16:23:44","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160968,"6703","0682069474","2015-10-09 10:04:03","2015-10-09 10:15:05","0.06 Km. NW From JALANDHAR TERMINAL","Jalandhar - I"," - I,"," I,Jalandhar-Punjab","0.09 Km. N From JALANDHAR TERMINAL","Jalandhar - I"," - I,"," I,Jalandhar-Punjab",11,"2015-10-09 16:23:41","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160967,"5418","0682069410","2015-10-09 12:46:04","2015-10-09 13:10:14","3.56 Km. NW From D N Palya bust stand","Nelamangala"," Bangalore (Rural)","Karnataka","0.12 Km. SW From Davangere Benne Dosa Shack","Nelamangala"," Bangalore (Rural)","Karnataka",24,"2015-10-09 16:22:46","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160966,"1222","0682069258","2015-10-09 12:07:38","2015-10-09 12:31:57","3.92 Km.  SE From Lalgopalganj","Soraon"," Pratapgarh","Uttar Pradesh","0.29 Km. N From SHAHEED VIJAY FILLING STATION","Soraon"," Allahabad","Uttar Pradesh",24,"2015-10-09 16:21:25","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160965,"1222","0682069258","2015-10-09 09:52:00","2015-10-09 10:18:42","0.22 Km. S From Indian Oil Corporation","Allahabad"," Allahabad","Uttar Pradesh","0.00 Km. NE From Main Gate-Allahabad Terminal","Allahabad"," -Allahabad Terminal;Allahabad,","Allahabad Terminal;Allahabad,Allahabad-Uttar Pradesh",26,"2015-10-09 16:21:18","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160964,"7021","0682069365","2015-10-09 10:04:09","2015-10-09 10:15:10","0.12 Km. N From Prakash Dhaba","Gonda"," Gonda","Uttar Pradesh","0.04 Km. N From GONDA DEPOT","Gonda"," Gonda","Uttar Pradesh",11,"2015-10-09 16:16:57","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160963,"1970","0682069302","2015-10-09 09:52:41","2015-10-09 10:06:25","0.06 Km. W From JALANDHAR TERMINAL","Jalandhar - I"," - I,"," I,Jalandhar-Punjab","0.10 Km. N From JALANDHAR TERMINAL","Jalandhar - I"," - I,"," I,Jalandhar-Punjab",13,"2015-10-09 16:13:52","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160962,"3766","0682068989","2015-10-09 15:43:49","2015-10-09 15:51:33","0.85 Km. E From FRIGERIO CONSERVA ALLANA LTD","Koil"," Aligarh","Uttar Pradesh","0.03 Km. NW From Canal Vishal Place","Koil"," Aligarh","Uttar Pradesh",7,"2015-10-09 16:11:23","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
160961,"3766","0682068989","2015-10-09 15:43:49","2015-10-09 15:51:33","0.85 Km. E From FRIGERIO CONSERVA ALLANA LTD","Koil"," Aligarh","Uttar Pradesh","0.03 Km. NW From Canal Vishal Place","Koil"," Aligarh","Uttar Pradesh",7,"2015-10-09 16:11:05","PROC_ROUTE_DEVIATION_ALERT",,,"N",0,1
