S.No,New Device Number,NewMobileNumber,NewInstallation,INSTALLEDON,VehicleNumber,TransporterName,01-SEP'-15,02-SEP'-15,03-SEP'-15,04-SEP'-15,05-SEP'-15,06-SEP'-15,07-SEP'-15,08-SEP'-15,09-SEP'-15,10-SEP'-15,11-SEP'-15,12-SEP'-15,13-SEP'-15,14-SEP'-15,15-SEP'-15,16-SEP'-15,17-SEP'-15,18-SEP'-15,19-SEP'-15,20-SEP'-15,21-SEP'-15,22-SEP'-15,23-SEP'-15,24-SEP'-15,25-SEP'-15,26-SEP'-15,27-SEP'-15,28-SEP'-15,29-SEP'-15,30-SEP'-15,R,P,UM,UI,N,UI+N,BILLING YES/NO,Remark
1,QCQ1101465,8879612821,OL001/00003,21-Oct-11,OR07W3522,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
2,QCQ1100023,8879460073,OL001/00023,21-Oct-11,OR07W3519,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,UI,R,R,R,29,0,0,1,0,1,YES,
3,QCQ1102451,8879613822,OL001/00002,22-Oct-11,HR55J2032,MSIL-Chetak Supply Chain Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,R,R,R,R,R,R,R,R,R,29,0,0,0,1,1,YES,
4,QCQ1204230,8879645802,OL001/00004,22-Oct-11,OR07W0882,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
5,QCQ1100055,8879460287,OL001/00005,24-Oct-11,HR38M4203,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
6,QCQ1100549,8879442437,OL001/00006,24-Oct-11,NL02G0152,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
7,QCQ1101737,8879613095,OL001/00007,24-Oct-11,RJ14GB0637,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,R,P,P,P,P,P,R,R,R,R,R,R,R,13,17,0,0,0,0,YES,
8,QCQ1100564,8879442452,OL001/00008,24-Oct-11,HR55K1810,MSIL-Chetak Cargo private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,R,R,R,R,R,26,4,0,0,0,0,YES,
9,QCQ1101429,8879612783,OL001/00009,24-Oct-11,RJ14GD4213,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
10,QCQ1102783,8879614158,OL001/00010,24-Oct-11,HR38M5670,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
11,QCQ1100019,8879460069,OL001/00011,25-Oct-11,NL01G4582,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,N,29,0,0,0,1,1,YES,
12,QCQ1101494,8879612850,OL001/00012,25-Oct-11,RJ25GA2244,MSIL-PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
13,QCQ1100025,8879460075,OL001/00013,29-Oct-11,NL01G4767,MSIL-BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,30,0,0,0,0,0,YES,
