S.No,New Device Number,NewMobileNumber,NewInstallation,INSTALLEDON,VehicleNumber,TransporterName,01-AUG'-15,02-AUG'-15,03-AUG'-15,04-AUG'-15,05-AUG'-15,06-AUG'-15,07-AUG'-15,08-AUG'-15,09-AUG'-15,10-AUG'-15,11-AUG'-15,12-AUG'-15,13-AUG'-15,14-AUG'-15,15-AUG'-15,16-AUG'-15,17-AUG'-15,18-AUG'-15,19-AUG'-15,20-AUG'-15,21-AUG'-15,22-AUG'-15,23-AUG'-15,24-AUG'-15,25-AUG'-15,26-AUG'-15,27-AUG'-15,28-AUG'-15,29-AUG'-15,30-AUG'-15,31-AUG'-15,R,P,UM,UI,N,UI+N,BILLING YES/NO,Remark
1,QCQ1101465,8879612821,OL001/00003,21-Oct-11,OR07W3522,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
2,QCQ1100023,8879460073,OL001/00023,21-Oct-11,OR07W3519,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
3,QCQ1102451,8879613822,OL001/00002,22-Oct-11,HR55J2032,Chetak Supply Chain Private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
4,QCQ1204230,8879645802,OL001/00004,22-Oct-11,OR07W0882,BHARATCARRIERSLTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
5,QCQ1100055,8879460287,OL001/00005,24-Oct-11,HR38M4203,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
6,QCQ1100549,8879442437,OL001/00006,24-Oct-11,NL02G0152,BHARATCARRIERSLTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
7,QCQ1101737,8879613095,OL001/00007,24-Oct-11,RJ14GB0637,PROFESSIONALAUTOMOTIVESPVT.LTD,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0,31,0,0,0,0,YES,
8,QCQ1100564,8879442452,OL001/00008,24-Oct-11,HR55K1810,Chetak Cargo private Limited,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
9,QCQ1101429,8879612783,OL001/00009,24-Oct-11,RJ14GD4213,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,UI,UI,UI,UI,UI,UI,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,25,0,0,6,0,6,YES,
10,QCQ1102783,8879614158,OL001/00010,24-Oct-11,HR38M5670,PROFESSIONALAUTOMOTIVESPVT.LTD,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,31,0,0,0,0,0,YES,
