Service Provider|Creation Date|VEHICLE NO|TRANSPORTER CODE|PLANT NAME|TIME IN|TIME OUT|TITO
EFKON|18-Aug-2015 14:53|RJ14GB0637|T190|MANESAR|17-Aug-2015 11:56|17-Aug-2015 13:51|1:55:50
EFKON|18-Aug-2015 14:47|RJ14GE8745|T190|MANESAR|17-Aug-2015 08:08|17-Aug-2015 10:02|1:54:0
EFKON|18-Aug-2015 14:53|RJ29GA0862|T190|GURGAON|17-Aug-2015 23:17|18-Aug-2015 00:35|1:18:6
EFKON|18-Aug-2015 14:50|RJ29GA0863|T190|MANESAR|17-Aug-2015 17:13|17-Aug-2015 19:15|2:1:58
EFKON|18-Aug-2015 14:46|HR55M9743|T139|GURGAON|18-Aug-2015 00:20|18-Aug-2015 02:13|1:53:9
EFKON|18-Aug-2015 14:44|NL01L2782|T139|MANESAR|17-Aug-2015 14:38|17-Aug-2015 16:39|2:0:37
EFKON|18-Aug-2015 14:54|NL01L2784|T139|GURGAON|17-Aug-2015 23:11|18-Aug-2015 01:06|1:55:10
EFKON|18-Aug-2015 14:38|NL01L7237|T139|MANESAR|17-Aug-2015 20:49|17-Aug-2015 23:15|2:26:7
EFKON|18-Aug-2015 14:48|NL01N0513|T139|MANESAR|17-Aug-2015 23:41|18-Aug-2015 02:11|2:30:7
EFKON|18-Aug-2015 14:52|RJ14GB0878|T233|GURGAON|17-Aug-2015 21:33|17-Aug-2015 23:44|2:11:25
EFKON|18-Aug-2015 14:38|RJ14GC1397|T233|MANESAR|17-Aug-2015 20:19|17-Aug-2015 22:53|2:33:7
EFKON|18-Aug-2015 14:47|RJ14GC3238|T233|MANESAR|17-Aug-2015 22:18|18-Aug-2015 00:14|1:56:20
EFKON|18-Aug-2015 14:36|RJ14GD2516|T233|MANESAR|17-Aug-2015 20:22|17-Aug-2015 21:54|1:31:40
EFKON|18-Aug-2015 14:48|RJ14GD2521|T233|MANESAR|17-Aug-2015 20:38|17-Aug-2015 22:05|1:27:9
EFKON|18-Aug-2015 14:44|RJ14GD2590|T233|MANESAR|17-Aug-2015 16:03|17-Aug-2015 17:25|1:22:0
EFKON|18-Aug-2015 14:53|NL01G4391|T165|MANESAR|17-Aug-2015 11:16|17-Aug-2015 11:42|0:25:56
EFKON|18-Aug-2015 14:34|NL01G4819|T165|GURGAON|18-Aug-2015 01:29|18-Aug-2015 03:14|1:45:20
EFKON|18-Aug-2015 14:36|NL01G5619|T165|GURGAON|18-Aug-2015 03:01|18-Aug-2015 05:00|1:59:42
EFKON|18-Aug-2015 14:39|NL01G5804|T165|MANESAR|17-Aug-2015 22:26|17-Aug-2015 23:29|1:3:30
EFKON|18-Aug-2015 14:36|NL01G5805|T165|GURGAON|18-Aug-2015 03:30|18-Aug-2015 05:29|1:59:3
EFKON|18-Aug-2015 14:33|NL01K2904|T165|MANESAR|17-Aug-2015 19:52|17-Aug-2015 22:03|2:10:50
EFKON|18-Aug-2015 14:44|NL01K7609|T165|GURGAON|18-Aug-2015 00:30|18-Aug-2015 02:01|1:30:54
EFKON|18-Aug-2015 14:42|NL02G0130|T215|MANESAR|18-Aug-2015 04:11|18-Aug-2015 05:44|1:33:27
EFKON|18-Aug-2015 14:33|NL02G1531|T215|GURGAON|18-Aug-2015 02:09|18-Aug-2015 03:51|1:41:57
EFKON|18-Aug-2015 14:41|NL02G3209|T215|GURGAON|18-Aug-2015 00:25|18-Aug-2015 01:43|1:18:6
EFKON|18-Aug-2015 14:41|NL02G3238|T215|GURGAON|18-Aug-2015 04:00|18-Aug-2015 05:38|1:38:47
EFKON|18-Aug-2015 14:37|NL02G7551|T215|GURGAON|18-Aug-2015 01:21|18-Aug-2015 02:46|1:24:54
EFKON|18-Aug-2015 14:47|NL02G7561|T215|MANESAR|17-Aug-2015 11:28|17-Aug-2015 13:07|1:38:36
EFKON|18-Aug-2015 14:40|NL01L9658|T192|MANESAR|17-Aug-2015 08:36|17-Aug-2015 11:10|2:34:14
EFKON|18-Aug-2015 14:39|UP17T1402|T192|MANESAR|17-Aug-2015 12:10|17-Aug-2015 12:37|0:26:19
EFKON|18-Aug-2015 14:35|HR55J8154|T237|GURGAON|18-Aug-2015 04:27|18-Aug-2015 05:49|1:21:59
EFKON|18-Aug-2015 14:53|HR55K3248|T237|GURGAON|17-Aug-2015 22:42|18-Aug-2015 00:29|1:46:32
EFKON|18-Aug-2015 14:52|MH04EL3075|T237|MANESAR|17-Aug-2015 12:58|17-Aug-2015 14:16|1:18:1
EFKON|18-Aug-2015 14:48|NL01G7294|T237|GURGAON|18-Aug-2015 04:19|18-Aug-2015 05:59|1:40:33
EFKON|18-Aug-2015 14:50|NL01K5213|T237|GURGAON|18-Aug-2015 04:23|18-Aug-2015 06:01|1:38:49
EFKON|18-Aug-2015 14:45|NL01K5847|T237|GURGAON|18-Aug-2015 02:36|18-Aug-2015 04:16|1:40:32
EFKON|18-Aug-2015 14:33|HR55P8287|T270|GURGAON|18-Aug-2015 01:49|18-Aug-2015 03:30|1:40:27
EFKON|18-Aug-2015 14:33|HR55Q1178|T270|GURGAON|18-Aug-2015 01:50|18-Aug-2015 03:20|1:29:33
EFKON|18-Aug-2015 14:36|OD07B7795|T197|MANESAR|18-Aug-2015 00:29|18-Aug-2015 03:40|3:10:23
EFKON|18-Aug-2015 14:42|OR05AA3851|T197|MANESAR|18-Aug-2015 00:41|18-Aug-2015 03:47|3:6:18
EFKON|18-Aug-2015 14:34|OR07Z5082|T197|MANESAR|18-Aug-2015 00:34|18-Aug-2015 03:18|2:43:31
EFKON|18-Aug-2015 14:34|OR07Z5282|T197|MANESAR|17-Aug-2015 10:13|17-Aug-2015 12:23|2:10:15
EFKON|18-Aug-2015 14:54|HR55K8923|T273|GURGAON|17-Aug-2015 23:19|18-Aug-2015 01:46|2:26:39
EFKON|18-Aug-2015 14:44|HR55L2502|T273|GURGAON|18-Aug-2015 00:27|18-Aug-2015 02:14|1:46:23
EFKON|18-Aug-2015 14:38|HR55L2505|T273|GURGAON|17-Aug-2015 23:20|18-Aug-2015 01:08|1:47:31
EFKON|18-Aug-2015 14:46|HR55M1620|T273|MANESAR|17-Aug-2015 11:50|17-Aug-2015 13:35|1:45:19
EFKON|18-Aug-2015 14:51|RJ09GB0774|T271|MANESAR|17-Aug-2015 23:41|18-Aug-2015 01:33|1:52:28
EFKON|18-Aug-2015 14:42|RJ09GB1437|T271|MANESAR|17-Aug-2015 21:26|17-Aug-2015 22:59|1:32:54
EFKON|18-Aug-2015 14:33|RJ14GB9249|T271|MANESAR|18-Aug-2015 03:50|18-Aug-2015 06:19|2:29:22
EFKON|18-Aug-2015 14:37|RJ14GC3740|T271|MANESAR|18-Aug-2015 03:42|18-Aug-2015 06:27|2:44:48
EFKON|18-Aug-2015 14:33|RJ14GC5206|T271|MANESAR|17-Aug-2015 16:59|17-Aug-2015 18:43|1:44:4
EFKON|18-Aug-2015 14:35|RJ14GC8412|T271|GURGAON|18-Aug-2015 01:57|18-Aug-2015 03:24|1:27:30
EFKON|18-Aug-2015 14:50|RJ14GC9077|T271|MANESAR|17-Aug-2015 22:46|18-Aug-2015 00:51|2:5:25
EFKON|18-Aug-2015 14:46|RJ14GD6125|T271|MANESAR|18-Aug-2015 03:40|18-Aug-2015 06:03|2:22:42
EFKON|18-Aug-2015 14:38|RJ14GD6327|T271|MANESAR|17-Aug-2015 16:59|17-Aug-2015 18:36|1:36:37
EFKON|18-Aug-2015 14:35|RJ14GD6328|T271|MANESAR|17-Aug-2015 19:12|17-Aug-2015 20:55|1:43:14
EFKON|18-Aug-2015 14:53|RJ14GE1390|T271|MANESAR|18-Aug-2015 01:28|18-Aug-2015 03:50|2:22:51
EFKON|18-Aug-2015 14:35|RJ14GE1395|T271|MANESAR|18-Aug-2015 01:27|18-Aug-2015 03:49|2:22:15
EFKON|18-Aug-2015 14:40|RJ14GE1419|T271|MANESAR|18-Aug-2015 01:13|18-Aug-2015 04:16|3:2:54
EFKON|18-Aug-2015 14:50|RJ14GG4736|T271|MANESAR|17-Aug-2015 20:40|17-Aug-2015 22:36|1:56:17
EFKON|18-Aug-2015 14:49|RJ14GG5036|T271|MANESAR|17-Aug-2015 17:29|17-Aug-2015 19:44|2:15:21
EFKON|18-Aug-2015 14:39|NL01D2666|T207|GURGAON|17-Aug-2015 22:46|18-Aug-2015 00:20|1:33:37
EFKON|18-Aug-2015 14:40|NL01G0577|T207|MANESAR|17-Aug-2015 19:54|17-Aug-2015 21:24|1:29:24
EFKON|18-Aug-2015 14:36|NL01G1555|T207|MANESAR|17-Aug-2015 18:09|17-Aug-2015 19:29|1:19:32
EFKON|18-Aug-2015 14:35|NL01G4755|T207|MANESAR|17-Aug-2015 21:18|17-Aug-2015 22:48|1:30:3
EFKON|18-Aug-2015 14:33|NL01G7199|T207|GURGAON|18-Aug-2015 03:49|18-Aug-2015 05:00|1:11:54
EFKON|18-Aug-2015 14:50|NL01K2233|T207|MANESAR|17-Aug-2015 08:50|17-Aug-2015 10:41|1:51:25
EFKON|18-Aug-2015 14:49|NL01K3922|T207|GURGAON|18-Aug-2015 01:45|18-Aug-2015 02:48|1:3:46
EFKON|18-Aug-2015 14:40|NL01L3283|T207|GURGAON|17-Aug-2015 22:50|18-Aug-2015 00:20|1:29:52
EFKON|18-Aug-2015 14:33|NL01L3341|T207|MANESAR|17-Aug-2015 08:46|17-Aug-2015 10:49|2:3:5
