CAVL_SERV_PROVIDER|TRIP NO|Carrier No|TYPE OF CLOSURE|CLOSURE LOCATION|CLOSURE DATE & TIME|TOTAL TRIP DISTANCE|TOTAL DELIVERY TIME|TOTAL STOPPAGE TIME|STOPPAGE AT TOLLS|STOPPAGE AT SATE BORDER|STOPPAGE AT DEALER|Harsh Braking instances|Over speeding Instances|Night Driving Instances (2:00 AM to 5:00 AM)|DAY0|DAY1|DAY2|DAY3|DAY4|DAY5|DAY6|DAY7|DAY8|DAY9|DAY10|DAY11|DAY12|DAY13|DAY14|DAY15|DAY16|DAY17|DAY18|DAY19|DAY20
EFKON|1116946|HR38K7980|A|AMBAL AUTOMABILES-COIMBATORE|17-Aug-2015 16:27|429|59:36:18|35:39:47||||1|11|0|1|311|117||||||||||||||||||
EFKON|4592599|HR38N6509|A|SBMOTOR CORPORATION-RAJAHMUNDRY|17-Aug-2015 15:03|2462|159:31:23|95:32:30|0:34:12|6:11:49||0|6|2|8|21|440|461|430|459|253|389|||||||||||||
EFKON|4575454|HR38N6784|M||17-Aug-2015 00:00|||83:37:24||||0|0|0|26|57|0|127|179||||||||||||||||
EFKON|4592908|HR38U5337|A|SURAKSHAA CAR CARE-BANGALORE|17-Aug-2015 20:54|2167|148:30:56|92:4:21|5:2:43|11:40:8||1|11|0|17|155|439|430|315|316|496||||||||||||||
EFKON|4592909|HR38U5337|A|KHIVRAJ MOTORS-MADRAS|17-Aug-2015 20:54|2167|148:30:56|92:4:21|5:2:43|11:40:8||1|11|0|17|155|439|430|315|316|496||||||||||||||
EFKON|4592907|HR38U5337|A|SURAKSHAA CAR CARE-BANGALORE|17-Aug-2015 20:54|2167|148:30:56|92:4:21|5:2:43|11:40:8||1|11|0|17|155|439|430|315|316|496||||||||||||||
EFKON|4592906|HR38U5337|A|SURAKSHAA CAR CARE-BANGALORE|17-Aug-2015 20:54|2167|148:30:56|92:4:21|5:2:43|11:40:8||1|11|0|17|155|439|430|315|316|496||||||||||||||
EFKON|4592905|HR38U5337|A|SURAKSHAA CAR CARE-BANGALORE|17-Aug-2015 20:54|2167|148:30:56|92:4:21|5:2:43|11:40:8||1|11|0|17|155|439|430|315|316|496||||||||||||||
EFKON|4594508|HR38U6016|A|INDUS MOTORS-COCHIN|17-Aug-2015 19:55|2173|124:8:48|80:7:1|1:39:47|0:58:6||0|20|3|17|395|283|463|512|503|||||||||||||||
EFKON|4594507|HR38U6016|A|INDUS MOTORS-COCHIN|17-Aug-2015 19:55|2173|124:8:48|80:7:1|1:39:47|0:58:6||0|20|3|17|395|283|463|512|503|||||||||||||||
EFKON|4594506|HR38U6016|A|INDUS MOTORS-COCHIN|17-Aug-2015 19:55|2173|124:8:48|80:7:1|1:39:47|0:58:6||0|20|3|17|395|283|463|512|503|||||||||||||||
EFKON|4594504|HR38U6016|A|INDUS MOTORS-COCHIN|17-Aug-2015 19:55|2173|124:8:48|80:7:1|1:39:47|0:58:6||0|20|3|17|395|283|463|512|503|||||||||||||||
EFKON|4594505|HR38U6016|A|INDUS MOTORS-COCHIN|17-Aug-2015 19:55|2173|124:8:48|80:7:1|1:39:47|0:58:6||0|20|3|17|395|283|463|512|503|||||||||||||||
EFKON|4594498|HR38U6122|A|INDUS MOTORS-COCHIN|17-Aug-2015 19:53|2179|124:23:52|80:10:4|0:25:1|0:50:16||0|60|3|19|397|424|324|513|502|||||||||||||||
EFKON|4594500|HR38U6122|A|INDUS MOTORS-COCHIN|17-Aug-2015 19:53|2179|124:23:52|80:10:4|0:25:1|0:50:16||0|60|3|19|397|424|324|513|502|||||||||||||||
EFKON|4594501|HR38U6122|A|INDUS MOTORS-COCHIN|17-Aug-2015 19:53|2179|124:23:52|80:10:4|0:25:1|0:50:16||0|60|3|19|397|424|324|513|502|||||||||||||||
EFKON|4594497|HR38U6122|A|INDUS MOTORS-COCHIN|17-Aug-2015 19:53|2179|124:23:52|80:10:4|0:25:1|0:50:16||0|60|3|19|397|424|324|513|502|||||||||||||||
EFKON|4594499|HR38U6122|A|INDUS MOTORS-COCHIN|17-Aug-2015 19:53|2179|124:23:52|80:10:4|0:25:1|0:50:16||0|60|3|19|397|424|324|513|502|||||||||||||||
EFKON|4588197|HR46B5553|M|PRIYA LOGISTICS PARKING-MANESAR|17-Aug-2015 00:00|||199:16:46||||0|0|0|0|0|0|0|||||||||||||||||
EFKON|4588829|HR46B5789|M||17-Aug-2015 00:00|||12:27:24||||0|87|0|54|152|||||||||||||||||||
